T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K)
1,2698,0.1,58.1,0
1.5,2698,0.0968,87.2,0
2,2698,0.108,116,0
2.5,2698,0.133,145,0
3,2698,0.169,174,0
3.5,2698,0.218,203,0
4,2698,0.276,232,0
4.5,2698,0.344,261,0
5,2698,0.388,290,0
5.5,2698,0.448,319,0
6,2698,0.515,348,0
6.5,2698,0.59,377,0
7,2698,0.673,406,9.71E-08
7.5,2698,0.765,435,1.49903E-07
8,2698,0.867,463,2.02783E-07
8.5,2698,0.981,491,2.5574E-07
9,2698,1.11,519,3.08773E-07
9.5,2698,1.25,547,3.61882E-07
10,2698,1.4,575,4.15065E-07
10.5,2698,1.56,603,4.68323E-07
11,2698,1.74,630,5.21654E-07
11.5,2698,1.93,657,5.75058E-07
12,2698,2.14,683,6.28535E-07
12.5,2698,2.37,710,6.82083E-07
13,2698,2.62,735,7.35701E-07
13.5,2698,2.89,761,7.8939E-07
14,2698,3.18,786,8.43149E-07
14.5,2698,3.5,810,8.96976E-07
15,2698,3.84,834,9.50871E-07
15.5,2698,4.21,858,1.00483E-06
16,2698,4.61,881,1.05886E-06
16.5,2698,5.03,903,1.11296E-06
17,2698,5.49,925,1.16712E-06
17.5,2698,5.97,946,1.22135E-06
18,2698,6.49,967,1.27564E-06
18.5,2698,7.04,987,1.32999E-06
19,2698,7.62,1010,1.38441E-06
19.5,2698,8.24,1030,1.43889E-06
20,2698,8.9,1040,1.49343E-06
20.5,2698,9.6,1060,1.54803E-06
21,2698,10.3,1070,1.60269E-06
21.5,2698,11.1,1080,1.65741E-06
22,2698,11.9,1100,1.71219E-06
22.5,2698,12.8,1110,1.76703E-06
23,2698,13.7,1120,1.82192E-06
23.5,2698,14.7,1130,1.87688E-06
24,2698,15.7,1140,1.93189E-06
24.5,2698,16.7,1150,1.98695E-06
25,2698,17.8,1160,2.04207E-06
25.5,2698,18.9,1160,2.09724E-06
26,2698,20.1,1170,2.15247E-06
26.5,2698,21.4,1180,2.20775E-06
27,2698,22.6,1180,2.26308E-06
27.5,2698,24,1190,2.31846E-06
28,2698,25.4,1190,2.37389E-06
28.5,2698,26.8,1190,2.42938E-06
29,2698,28.3,1190,2.48491E-06
29.5,2698,29.8,1190,2.54049E-06
30,2698,31.5,1190,2.59612E-06
30.5,2698,33.3,1190,2.6518E-06
31,2698,35.1,1190,2.70752E-06
31.5,2698,37,1180,2.76329E-06
32,2698,39,1180,2.81911E-06
32.5,2698,41,1170,2.87497E-06
33,2698,43.1,1160,2.93087E-06
33.5,2698,45.2,1160,2.98682E-06
34,2698,47.4,1150,3.04281E-06
34.5,2698,49.6,1140,3.09884E-06
35,2698,51.9,1130,3.15492E-06
35.5,2698,54.2,1120,3.21103E-06
36,2698,56.6,1110,3.26719E-06
36.5,2698,59,1100,3.32338E-06
37,2698,61.5,1090,3.37962E-06
37.5,2698,64.1,1080,3.43589E-06
38,2698,66.7,1070,3.4922E-06
38.5,2698,69.3,1050,3.54854E-06
39,2698,72,1040,3.60492E-06
39.5,2698,74.7,1030,3.66134E-06
40,2698,77.5,1020,3.71779E-06
40.5,2698,80.4,1000,3.77428E-06
41,2698,83.3,990,3.8308E-06
41.5,2698,86.3,977,3.88735E-06
42,2698,89.3,964,3.94394E-06
42.5,2698,92.3,951,4.00055E-06
43,2698,95.4,938,4.0572E-06
43.5,2698,98.5,925,4.11388E-06
44,2698,102,911,4.17058E-06
44.5,2698,105,898,4.22732E-06
45,2698,108,884,4.28408E-06
45.5,2698,111,871,4.34087E-06
46,2698,115,857,4.39769E-06
46.5,2698,118,844,4.45453E-06
47,2698,121,830,4.5114E-06
47.5,2698,125,817,4.56829E-06
48,2698,128,804,4.62521E-06
48.5,2698,132,791,4.68215E-06
49,2698,135,777,4.73912E-06
49.5,2698,139,763,4.7961E-06
50,2698,142,752,4.85311E-06
50.5,2698,145,740,4.91014E-06
51,2698,149,729,4.96719E-06
51.5,2698,152,718,5.02426E-06
52,2698,156,707,5.08134E-06
52.5,2698,160,697,5.13845E-06
53,2698,163,686,5.19557E-06
53.5,2698,167,676,5.25271E-06
54,2698,170,666,5.30987E-06
54.5,2698,174,656,5.36704E-06
55,2698,177,646,5.42422E-06
55.5,2698,181,636,5.48142E-06
56,2698,185,627,5.53864E-06
56.5,2698,188,618,5.59586E-06
57,2698,192,609,5.6531E-06
57.5,2698,196,600,5.71035E-06
58,2698,199,591,5.76761E-06
58.5,2698,203,582,5.82488E-06
59,2698,207,574,5.88216E-06
59.5,2698,210,566,5.93945E-06
60,2698,214,558,5.99675E-06
60.5,2698,218,551,6.05405E-06
61,2698,221,543,6.11137E-06
61.5,2698,225,536,6.16868E-06
62,2698,229,529,6.22601E-06
62.5,2698,232,522,6.28334E-06
63,2698,236,516,6.34067E-06
63.5,2698,240,509,6.398E-06
64,2698,243,503,6.45534E-06
64.5,2698,247,497,6.51268E-06
65,2698,251,491,6.57003E-06
65.5,2698,254,485,6.62737E-06
66,2698,258,479,6.68471E-06
66.5,2698,262,473,6.74206E-06
67,2698,265,468,6.7994E-06
67.5,2698,269,463,6.85674E-06
68,2698,273,458,6.91408E-06
68.5,2698,276,452,6.97141E-06
69,2698,280,448,7.02874E-06
69.5,2698,283,443,7.08607E-06
70,2698,287,438,7.14339E-06
70.5,2698,291,433,7.20071E-06
71,2698,294,429,7.25802E-06
71.5,2698,298,424,7.31532E-06
72,2698,301,420,7.37261E-06
72.5,2698,305,416,7.4299E-06
73,2698,308,412,7.48717E-06
73.5,2698,312,408,7.54444E-06
74,2698,315,404,7.6017E-06
74.5,2698,319,400,7.65894E-06
75,2698,323,396,7.71618E-06
75.5,2698,326,392,7.7734E-06
76,2698,329,389,7.83061E-06
76.5,2698,333,385,7.8878E-06
77,2698,336,382,7.94498E-06
77.5,2698,340,378,8.00215E-06
78,2698,343,375,8.0593E-06
78.5,2698,347,372,8.11643E-06
79,2698,350,369,8.17355E-06
79.5,2698,354,366,8.23065E-06
80,2698,357,363,8.28773E-06
80.5,2698,360,360,8.34479E-06
81,2698,364,357,8.40183E-06
81.5,2698,367,354,8.45885E-06
82,2698,370,351,8.51585E-06
82.5,2698,374,348,8.57283E-06
83,2698,377,346,8.62979E-06
83.5,2698,380,343,8.68672E-06
84,2698,384,340,8.74363E-06
84.5,2698,387,338,8.80052E-06
85,2698,390,335,8.85738E-06
85.5,2698,393,333,8.91421E-06
86,2698,397,331,8.97102E-06
86.5,2698,400,328,9.0278E-06
87,2698,403,326,9.08456E-06
87.5,2698,406,324,9.14128E-06
88,2698,409,322,9.19798E-06
88.5,2698,413,320,9.25465E-06
89,2698,416,317,9.31129E-06
89.5,2698,419,316,9.36789E-06
90,2698,422,313,9.42447E-06
90.5,2698,425,312,9.48101E-06
91,2698,428,310,9.53752E-06
91.5,2698,431,308,9.594E-06
92,2698,434,306,9.65044E-06
92.5,2698,437,304,9.70685E-06
93,2698,440,302,9.76322E-06
93.5,2698,443,301,9.81955E-06
94,2698,446,299,9.87585E-06
94.5,2698,449,297,9.93211E-06
95,2698,452,296,9.98834E-06
95.5,2698,455,294,1.00445E-05
96,2698,458,293,1.01007E-05
96.5,2698,461,291,1.01568E-05
97,2698,464,290,1.02128E-05
97.5,2698,467,288,1.02689E-05
98,2698,470,287,1.03248E-05
98.5,2698,473,285,1.03808E-05
99,2698,475,284,1.04367E-05
99.5,2698,478,283,1.04925E-05
100,2698,481,282,1.05483E-05
100.5,2698,484,280,1.06041E-05
101,2698,487,279,1.06598E-05
101.5,2698,489,278,1.07155E-05
102,2698,492,276,1.07711E-05
102.5,2698,495,275,1.08267E-05
103,2698,497,274,1.08822E-05
103.5,2698,500,273,1.09377E-05
104,2698,503,272,1.09931E-05
104.5,2698,505,270,1.10484E-05
105,2698,508,269,1.11038E-05
105.5,2698,510,268,1.1159E-05
106,2698,513,267,1.12143E-05
106.5,2698,516,266,1.12694E-05
107,2698,518,265,1.13245E-05
107.5,2698,521,264,1.13796E-05
108,2698,523,263,1.14346E-05
108.5,2698,526,262,1.14895E-05
109,2698,528,261,1.15444E-05
109.5,2698,531,260,1.15992E-05
110,2698,533,259,1.1654E-05
110.5,2698,535,259,1.17087E-05
111,2698,538,258,1.17634E-05
111.5,2698,540,257,1.1818E-05
112,2698,543,256,1.18725E-05
112.5,2698,545,255,1.1927E-05
113,2698,547,254,1.19814E-05
113.5,2698,550,254,1.20357E-05
114,2698,552,253,1.209E-05
114.5,2698,554,252,1.21443E-05
115,2698,556,252,1.21984E-05
115.5,2698,559,251,1.22525E-05
116,2698,561,250,1.23065E-05
116.5,2698,563,250,1.23605E-05
117,2698,565,249,1.24144E-05
117.5,2698,568,248,1.24682E-05
118,2698,570,248,1.2522E-05
118.5,2698,572,247,1.25756E-05
119,2698,574,247,1.26293E-05
119.5,2698,576,246,1.26828E-05
120,2698,579,246,1.27363E-05
120.5,2698,581,245,1.27897E-05
121,2698,583,245,1.2843E-05
121.5,2698,585,244,1.28963E-05
122,2698,587,244,1.29495E-05
122.5,2698,589,243,1.30026E-05
123,2698,591,243,1.30556E-05
123.5,2698,593,242,1.31086E-05
124,2698,595,242,1.31615E-05
124.5,2698,597,242,1.32143E-05
125,2698,599,241,1.3267E-05
125.5,2698,601,241,1.33196E-05
126,2698,603,240,1.33722E-05
126.5,2698,605,240,1.34247E-05
127,2698,607,240,1.34771E-05
127.5,2698,609,240,1.35295E-05
128,2698,611,239,1.35817E-05
128.5,2698,613,239,1.36339E-05
129,2698,615,239,1.3686E-05
129.5,2698,617,238,1.3738E-05
130,2698,618,238,1.37899E-05
130.5,2698,620,238,1.38417E-05
131,2698,622,238,1.38935E-05
131.5,2698,624,238,1.39451E-05
132,2698,626,237,1.39967E-05
132.5,2698,628,237,1.40482E-05
133,2698,629,237,1.40996E-05
133.5,2698,631,237,1.41509E-05
134,2698,633,237,1.42021E-05
134.5,2698,635,237,1.42532E-05
135,2698,636,236,1.43043E-05
135.5,2698,638,236,1.43552E-05
136,2698,640,236,1.44061E-05
136.5,2698,642,236,1.44569E-05
137,2698,643,236,1.45075E-05
137.5,2698,645,236,1.45581E-05
138,2698,647,236,1.46086E-05
138.5,2698,648,236,1.4659E-05
139,2698,650,236,1.47093E-05
139.5,2698,652,236,1.47595E-05
140,2698,653,236,1.48095E-05
140.5,2698,655,236,1.48595E-05
141,2698,657,236,1.49094E-05
141.5,2698,658,236,1.49592E-05
142,2698,660,236,1.50089E-05
